word,count,length,per_million,rank,pos
hui,90121,3,426.0022134474,183,NP: SgMasFem
trouve,89386,6,422.5278664374,184,VB: Sg1stPreInd
église,89137,6,421.3508427565,185,NC: SgFem
président,88578,9,418.7084482279,186,NC: SgMas
père,88576,4,418.6989942224,187,NC: SgMas
dès,88216,3,416.9972732379,188,PP
cas,87744,3,414.7661279472,189,NC: SgPlMas
club,87026,4,411.3721399837,190,NC: SgMas
tour,86966,4,411.0885198196,191,NC: SgMasFem
ancien,86686,6,409.7649590539,192,ADJ: SgMas
étant,86410,5,408.4603062992,193,PPT
près,86403,4,408.4272172800,194,ADV
elles,86199,5,407.4629087222,195,PN: Pl3rdFem
part,85743,4,405.3073954752,196,NC: SgFem
dernier,85144,7,402.4759208372,197,ADJ: SgMas
armée,84969,5,401.6486953586,198,ADJ: SgFem
toujours,84605,8,399.9280663632,199,ADV
société,84359,7,398.7652236905,200,NC: SgFem
