word	definition	n	x	y
danu	0: Celtic goddess who was the mother of the Tuatha De Danann; identified with the Welsh Don (danu.n.01)	4		
dard	0: any of a group of Indic languages spoken in Kashmir and eastern Afghanistan and northern Pakistan (dard.n.01)	4		
dari	0: an Iranian language spoken in Afghanistan (dari.n.01)	4		
date	"0: the specified day of the month (date.n.01)
 1: a participant in a date (date.n.02)
 2: a meeting arranged in advance (date.n.03)
 3: a particular but unspecified point in time (date.n.04)
 4: the present (date.n.05)
 5: the particular day, month, or year (usually according to the Gregorian calendar) that an event occurred (date.n.06)
 6: a particular day specified as the time something happens (date.n.07)
 7: sweet edible fruit of the date palm with a single long woody seed (date.n.08)
 8: go on a date with (date.v.01)
 9: stamp with a date (date.v.02)
 10: assign a date to; determine the (probable) date of (date.v.03)
 11: date regularly; have a steady relationship with (go_steady.v.01)
 12: provide with a dateline; mark with a date (date.v.05)"	4		
davy	0: English chemist who was a pioneer in electrochemistry and who used it to isolate elements sodium and potassium and barium and boron and calcium and magnesium and chlorine (1778-1829) (davy.n.01)	4		
deaf	"0: people who have severe hearing impairments (deaf.n.01)
 1: make or render deaf (deafen.v.02)
 2: lacking or deprived of the sense of hearing wholly or in part (deaf.a.01)
 3: (usually followed by `to') unwilling or refusing to pay heed (deaf.s.02)"	4		
debs	"0: United States labor organizer who ran for President as a socialist (1855-1926) (debs.n.01)
 1: a young woman making her debut into society (debutante.n.01)"	4		
deem	0: keep in mind or convey as a conviction or view (deem.v.01)	4		
derv	0: diesel oil used in cars and lorries with diesel engines; from d(iesel) e(ngine) r(oad) v(ehicle) (derv.n.01)	4		
devi	0: Hindu mother goddess; supreme power in the universe; wife or embodiment of the female energy of Siva having both beneficent and malevolent forms or aspects (devi.n.01)	4		
dflp	0: a Marxist-Leninist group that believes Palestinian goals can only be achieved by revolutionary change (democratic_front_for_the_liberation_of_palestine.n.01)	4		
dhak	0: East Indian tree bearing a profusion of intense vermilion velvet-textured blooms and yielding a yellow dye (dhak.n.01)	4		
dhal	0: tropical woody herb with showy yellow flowers and flat pods; much cultivated in the tropics (pigeon_pea.n.01)	4		
dhow	0: a lateen-rigged sailing vessel used by Arabs (dhow.n.01)	4		
diam	0: the length of a straight line passing through the center of a circle and connecting two points on the circumference (diameter.n.01)	4		
diaz	0: Portuguese explorer who in 1488 was the first European to get round the Cape of Good Hope (thus establishing a sea route from the Atlantic to Asia) (1450-1500) (dias.n.01)	4		
dick	"0: someone who is a detective (dick.n.01)
 1: obscene terms for penis (cock.n.01)"	4		
dika	0: African tree with edible yellow fruit resembling mangos; valued for its oil-rich seed and hardy green wood that resists termites (wild_mango.n.01)	4		
dine	"0: have supper; eat dinner (dine.v.01)
 1: give dinner to; host for dinner (dine.v.02)"	4		
dint	0: interchangeable with `means' in the expression `by means of' (dint.n.01)	4		
diol	0: any of a class of alcohols having 2 hydroxyl groups in each molecule (diol.n.01)	4		
dita	0: evergreen tree of eastern Asia and Philippines having large leathery leaves and small green-white flowers in compact cymes; bark formerly used medicinally (dita.n.01)	4		
dmus	0: a doctor's degree in music (doctor_of_music.n.01)	4		
doei	0: an agency that collects political and economic and technical information about energy matters and makes the Department of Energy's technical and analytical expertise available to other members of the Intelligence Community (department_of_energy_intelligence.n.01)	4		
doer	0: a person who acts and gets things done (actor.n.02)	4		
doff	0: remove (doff.v.01)	4		
dogy	0: motherless calf in a range herd of cattle (dogie.n.01)	4		
doha	0: the capital and chief port of Qatar (doha.n.01)	4		
dojc	0: an agency of the Canadian government that provides litigation and legal advice and opinions to the government (department_of_justice_canada.n.01)	4		
dole	"0: a share of money or food or clothing that has been charitably given (dole.n.01)
 1: money received from the state (dole.n.02)"	4	22	
dona	0: a Spanish courtesy title or form of address for a woman (dona.n.01)	4		
doss	"0: the federal department in the United States that sets and maintains foreign policies (department_of_state.n.01)
 1: an operating system that is on a disk (dos.n.02)
 2: sleep in a convenient place (doss.v.01)"	4		
dour	"0: stubbornly unyielding; ; ; ; - T.S.Eliot (dogged.s.01)
 1: harshly uninviting or formidable in manner or appearance; ; ; ; - J.M.Barrie (dour.s.02)
 2: showing a brooding ill humor; ; ; ; ; ; - Bruce Bliven (dark.s.06)"	4		
dprk	0: a communist country in the northern half of the Korean Peninsula; established in 1948 (north_korea.n.01)	4		
drab	"0: a dull greyish to yellowish or light olive brown (olive_drab.n.01)
 1: lacking in liveliness or charm or surprise (drab.s.01)
 2: lacking brightness or color; dull (drab.s.02)
 3: of a light brownish green color (olive-drab.s.01)
 4: causing dejection (blue.s.08)"	4		
dray	0: a low heavy horse cart without sides; used for haulage (dray.n.01)	4		
dreg	0: a small amount of residue (dreg.n.01)	4		
drib	0: a small indefinite quantity (especially of a liquid); ; ; ; --Kipling (drop.n.02)	4		
drub	0: beat thoroughly and conclusively in a competition or fight (cream.v.02)	4		
dtic	0: the agency in the Department of Defense that provides scientific and technical information to federal agencies and their contractors (defense_technical_information_center.n.01)	4		
duad	0: two items of the same kind (couple.n.04)	4		
duce	0: leader (duce.n.01)	4		
duds	"0: informal terms for clothing (togs.n.01)
 1: someone who is unsuccessful (flop.n.02)
 2: an explosion that fails to occur (misfire.n.01)
 3: an event that fails badly or is totally ineffectual (turkey.n.05)"	4		
duff	0: a stiff flour pudding steamed or boiled usually and containing e.g. currants and raisins and citron (duff.n.01)	4		
dufy	0: French painter noted for brightly colored scenes (1877-1953) (dufy.n.01)	4		
duly	0: at the proper time (punctually.r.01)	4		
duma	0: a legislative body in the ruling assembly of Russia and of some other republics in the former USSR (duma.n.01)	4		
dung	"0: fecal matter of animals (droppings.n.01)
 1: fertilize or dress with dung (dung.v.01)
 2: defecate; used of animals (dung.v.02)"	4		
duse	0: Italian actress best known for her performances in tragic roles (1858-1924) (duse.n.01)	4		
dyed	"0: color with dye (dye.v.01)
 1: (used of color) artificially produced; not natural (bleached.s.02)"	4		
dyer	0: someone whose job is to dye cloth (dyer.n.01)	4		
dyke	"0: (slang) offensive term for a lesbian who is noticeably masculine (butch.n.01)
 1: a barrier constructed to contain the flow of water or to keep out the sea (dam.n.01)
 2: enclose with a dike (dike.v.01)"	4		
earn	"0: earn on some commercial or business transaction; earn as salary or wages (gain.v.08)
 1: acquire or deserve by one's efforts or actions (earn.v.02)"	4		
ebit	0: a unit of information equal to 1000 petabits or 10^18 bits (exabit.n.01)	4		
ebon	0: of a very dark black (ebon.s.01)	4		
ebro	0: a river in northeastern Spain; flows into the Mediterranean (ebro.n.01)	4		
eccm	0: electronic warfare undertaken to insure effective friendly use of the electromagnetic spectrum in spite of the enemy's use of electronic warfare (electronic_counter-countermeasures.n.01)	4		
echt	0: not fake or counterfeit (genuine.a.01)	4		
ecru	0: a very light brown (beige.n.01)	4		
eddo	0: edible starchy tuberous root of taro plants (taro.n.01)	4		
edta	0: a complex molecule used medically to chelate metal ions in cases of lead or heavy metal poisoning (ethylenediaminetetraacetic_acid.n.01)	4		
edwy	0: King of England who was renounced by Northumbria in favor of his brother Edgar (died in 959) (edwy.n.01)	4		
eery	0: inspiring a feeling of fear; strange and frightening (eerie.s.02)	4		
egis	0: armor plate that protects the chest; the front part of a cuirass (breastplate.n.01)	4		
egtk	0: a terrorist group that is the remnants of the original Bolivian insurgents trained by Che Guevara; attacks small unprotected targets such as power pylons or oil pipelines or government buildings (tupac_katari_guerrilla_army.n.01)	4		
eire	0: a republic consisting of 26 of 32 counties comprising the island of Ireland; achieved independence from the United Kingdom in 1921 (ireland.n.01)	4		
elam	0: an ancient country in southwestern Asia to the east of the Tigris River (in what is modern Iran); was known for its warlike people (elam.n.01)	4		
elan	"0: a feeling of strong eagerness (usually in favor of a person or cause) (ardor.n.01)
 1: distinctive and stylish elegance (dash.n.01)
 2: enthusiastic and assured vigor and liveliness (elan.n.03)"	4		
elbe	0: a river in central Europe that arises in northwestern Czechoslovakia and flows northward through Germany to empty into the North Sea (elbe.n.01)	4		
elia	0: English essayist (1775-1834) (lamb.n.02)	4		
elul	0: the twelfth month of the civil year; the sixth month of the ecclesiastical year in the Jewish calendar (in August and September) (elul.n.01)	4		
emir	0: an independent ruler or chieftain (especially in Africa or Arabia) (emir.n.01)	4		
enid	0: a town in north central Oklahoma (enid.n.01)	4		
enol	0: an organic compound that contains a hydroxyl group bonded to a carbon atom which in turn is doubly bonded to another carbon atom (enol.n.01)	4		
epee	0: a fencing sword similar to a foil but with a heavier blade (epee.n.01)	4		
epha	0: an ancient Hebrew unit of dry measure equal to about a bushel (ephah.n.01)	4		
erie	"0: a member of an Iroquoian people formerly living on the south shore of Lake Erie in northern Ohio and northwest Pennsylvania and western New York (erie.n.01)
 1: the 4th largest of the Great Lakes; it is linked to the Hudson River by the New York State Barge Canal (lake_erie.n.01)
 2: a port city on Lake Erie in northwestern Pennsylvania (erie.n.03)"	4		
erne	0: bulky greyish-brown eagle with a short wedge-shaped white tail; of Europe and Greenland (ern.n.01)	4		
erse	0: any of several related languages of the Celts in Ireland and Scotland (gaelic.n.01)	4		
esau	0: (Old Testament) the eldest son of Isaac who would have inherited the covenant that God made with Abraham and that Abraham passed on to Isaac; he traded his birthright to his twin brother Jacob for a mess of pottage (esau.n.01)	4		
esop	0: a program under which employees regularly accumulate shares and may ultimately assume control of the company (employee_stock_ownership_plan.n.01)	4		
esox	0: type and only genus of the family Esocidae (esox.n.01)	4		
euro	0: the basic monetary unit of most members of the European Union (introduced in 1999); in 2002 twelve European nations (Germany, France, Belgium, Luxembourg, the Netherlands, Italy, Spain, Portugal, Ireland, Greece, Austria, Finland) adopted the euro as their basic unit of money and abandoned their traditional currencies (euro.n.01)	4	33	
even	"0: the latter part of the day (the period of decreasing daylight from late afternoon until nightfall) (evening.n.01)
 1: make level or straight (flush.v.04)
 2: become even or more even (even.v.02)
 3: make even or more even (even.v.03)
 4: divisible by two (even.a.01)
 5: equal in degree or extent or amount; or equally matched or balanced (even.s.02)
 6: being level or straight or regular and without variation as e.g. in shape or texture; or being in the same plane or at the same height as something else (i.e. even with) (even.a.03)
 7: symmetrically arranged (even.s.04)
 8: occurring at fixed intervals (even.s.05)
 9: of the score in a contest (tied.s.05)
 10: used as an intensive especially to indicate something unexpected (even.r.01)
 11: in spite of; notwithstanding (even.r.02)
 12: to a greater degree or extent; used with comparisons (even.r.03)
 13: to the full extent (even.r.04)"	4		
ever	"0: at any time (ever.r.01)
 1: at all times; all the time and on every occasion (always.r.01)
 2: (intensifier for adjectives) very (ever.r.03)"	4		
eyas	0: an unfledged or nestling hawk (eyas.n.01)	4		
eyed	"0: look at (eye.v.01)
 1: having an eye or eyes or eyelike feature especially as specified; often used in combination (eyed.a.01)"	4		
eyra	0: long-bodied long-tailed tropical American wildcat (jaguarundi.n.01)	4		
eyre	0: a shallow salt lake in south central Australia about 35 feet below sea level; the largest lake in the country and the lowest point on the continent (eyre.n.01)	4		
eyry	"0: the lofty nest of a bird of prey (such as a hawk or eagle) (aerie.n.01)
 1: any habitation at a high altitude (aerie.n.02)"	4		
ezed	0: the 26th letter of the Roman alphabet (z.n.02)	4		
ezra	"0: a Jewish priest and scribe sent by the Persian king to restore Jewish law and worship in Jerusalem (ezra.n.01)
 1: an Old Testament book telling of a rabbi's efforts in the 5th century BC to reconstitute Jewish law and worship in Jerusalem after the Babylonian Captivity (ezra.n.02)"	4		
fahd	0: king of Saudi Arabia from 1982 to 2005 (1923-2005) (fahd.n.01)	4		
fain	"0: having made preparations (disposed.s.01)
 1: in a willing manner (gladly.r.01)"	4		
faun	0: ancient Italian deity in human shape, with horns, pointed ears and a goat's tail; equivalent to Greek satyr (faun.n.01)	4		
faze	0: disturb the composure of (faze.v.01)	4		
fear	"0: an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight) (fear.n.01)
 1: an anxious feeling (concern.n.02)
 2: a feeling of profound respect for someone or something (fear.n.03)
 3: be afraid or feel anxious or apprehensive about a possible or probable situation or event (fear.v.01)
 4: be afraid or scared of; be frightened of (fear.v.02)
 5: be sorry; used to introduce an unpleasant statement (fear.v.03)
 6: be uneasy or apprehensive about (fear.v.04)
 7: regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of (reverence.v.01)"	4		
fell	"0: the dressed skin of an animal (especially a large animal) (hide.n.01)
 1: seam made by turning under or folding together and stitching the seamed materials to avoid rough edges (fell.n.02)
 2: the act of felling something (as a tree) (fell.n.03)
 3: cause to fall by or as if by delivering a blow (fell.v.01)
 4: pass away rapidly (fly.v.08)
 5: sew a seam by folding the edges (fell.v.03)
 6: descend in free fall under the influence of gravity (fall.v.01)
 7: move downward and lower, but not necessarily all the way (descend.v.01)
 8: pass suddenly and passively into a state of body or mind (fall.v.03)
 9: come under, be classified or included (fall.v.04)
 10: fall from clouds (precipitate.v.03)
 11: suffer defeat, failure, or ruin (fall.v.06)
 12: die, as in battle or in a hunt (fall.v.07)
 13: touch or seem as if touching visually or audibly (fall.v.08)
 14: be captured (fall.v.09)
 15: occur at a specified time or place (fall.v.10)
 16: decrease in size, extent, or range (decrease.v.01)
 17: yield to temptation or sin (fall.v.12)
 18: lose office or power (fall.v.13)
 19: to be given by assignment or distribution (fall.v.14)
 20: move in a specified direction (fall.v.15)
 21: be due (fall.v.16)
 22: lose one's chastity (fall.v.17)
 23: to be given by right or inheritance (fall.v.18)
 24: come into the possession of (accrue.v.02)
 25: fall to somebody by assignment or lot (fall.v.20)
 26: be inherited by (fall.v.21)
 27: slope downward (fall.v.22)
 28: lose an upright position suddenly (fall.v.23)
 29: drop oneself to a lower or less erect position (fall.v.24)
 30: fall or flow in a certain way (hang.v.05)
 31: assume a disappointed or sad expression (fall.v.26)
 32: be cast down (fall.v.27)
 33: come out; issue (fall.v.28)
 34: be born, used chiefly of lambs (fall.v.29)
 35: begin vigorously (fall.v.30)
 36: go as if by falling (fall.v.31)
 37: come as if by falling (fall.v.32)
 38: (of persons or their actions) able or disposed to inflict pain or suffering (barbarous.s.01)"	4		
fema	0: an independent agency of the United States government that provides a single point of accountability for all federal emergency preparedness and mitigation and response activities (federal_emergency_management_agency.n.01)	4		
fess	"0: (heraldry) an ordinary consisting of a broad horizontal band across a shield (fesse.n.01)
 1: a city in north central Morocco; religious center (fez.n.01)"	4		
fete	"0: an elaborate party (often outdoors) (fete.n.01)
 1: an organized series of acts and performances (usually in one place) (festival.n.02)
 2: have a celebration (celebrate.v.02)"	4		
fice	0: a nervous belligerent little mongrel dog (feist.n.01)	4		
fiji	0: an independent state within the British Commonwealth located on the Fiji Islands (fiji.n.01)	4		
fils	"0: 100 Yemeni fils are worth one Yemeni rial (yemeni_fils.n.01)
 1: a fractional monetary unit in Bahrain and Iraq and Jordan and Kuwait; equal to one thousandth of a dinar (fils.n.02)"	4		
fisa	0: an act passed by Congress in 1978 to establish procedures for requesting judicial authorization for foreign intelligence surveillance and to create the Foreign Intelligence Surveillance Court; intended to increase United States counterintelligence; separate from ordinary law enforcement surveillance (foreign_intelligence_surveillance_act.n.01)	4		
fisc	0: a state treasury or exchequer or a royal treasury; originally the public treasury of Rome or the emperor's private purse (fisc.n.01)	4		
flak	"0: a slick spokesperson who can turn any criticism to the advantage of their employer (flak_catcher.n.01)
 1: intense adverse criticism (fire.n.09)
 2: artillery designed to shoot upward at airplanes (antiaircraft.n.01)"	4		
flaw	"0: an imperfection in an object or machine (defect.n.03)
 1: defect or weakness in a person's character (flaw.n.02)
 2: an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness (flaw.n.03)
 3: add a flaw or blemish to; make imperfect or defective (flaw.v.01)"	4		
flnc	0: a terrorist group formed in 1976 to work for Corsican independence; attacks on Corsica are aimed at sabotaging public infrastructure and symbols of colonialism (national_liberation_front_of_corsica.n.01)	4		
flub	"0: an embarrassing mistake (blunder.n.01)
 1: make a mess of, destroy or ruin (botch.v.01)"	4		
flue	"0: flat bladelike projection on the arm of an anchor (fluke.n.03)
 1: organ pipe whose tone is produced by air passing across the sharp edge of a fissure or lip (flue_pipe.n.01)
 2: a conduit to carry off smoke (flue.n.03)"	4		
fmri	0: a form of magnetic resonance imaging of the brain that registers blood flow to functioning areas of the brain (functional_magnetic_resonance_imaging.n.01)	4		
fnma	0: a federally chartered corporation that purchases mortgages (federal_national_mortgage_association.n.01)	4		
fogy	0: someone whose style is out of fashion (dodo.n.01)	4		
fohn	0: a warm dry wind that blows down the northern slopes of the Alps (fohn.n.01)	4		
fond	"0: having or displaying warmth or affection (affectionate.s.01)
 1: extravagantly or foolishly loving and indulgent (adoring.s.02)
 2: (followed by `of' or `to') having a strong preference or liking for (fond.s.03)
 3: absurd or silly because unlikely (fond.s.04)"	4		
fots	0: a communication system using fiber optic cables (fiber-optic_transmission_system.n.01)	4		
foul	"0: an act that violates the rules of a sport (foul.n.01)
 1: hit a foul ball (foul.v.01)
 2: make impure (pollute.v.01)
 3: become or cause to become obstructed (clog.v.01)
 4: commit a foul; break the rules (foul.v.04)
 5: spot, stain, or pollute (foul.v.05)
 6: make unclean (foul.v.06)
 7: become soiled and dirty (foul.v.07)
 8: highly offensive; arousing aversion or disgust (disgusting.s.01)
 9: offensively malodorous (fetid.s.01)
 10: violating accepted standards or rules (cheating.s.02)
 11: (of a baseball) not hit between the foul lines (foul.a.04)
 12: (of a manuscript) defaced with changes (dirty.s.07)
 13: characterized by obscenity (cruddy.s.01)
 14: disgustingly dirty; filled or smeared with offensive matter (filthy.s.01)
 15: especially of a ship's lines etc (afoul.s.01)"	4		
frau	0: a German courtesy title or form of address for an adult woman (frau.n.01)	4		
fray	"0: a noisy fight (affray.n.02)
 1: wear away by rubbing (fray.v.01)
 2: cause friction (rub.v.02)"	4		
frey	0: (Norse mythology) god of earth's fertility and peace and prosperity; son of Njorth and brother of Freya; originally of the Vanir; later with the Aesir (frey.n.01)	4		
fthm	"0: a linear unit of measurement (equal to 6 feet) for water depth (fathom.n.01)
 1: (mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore (fathom.n.02)"	4		
fula	"0: a member of a pastoral and nomadic people of western Africa; they are traditionally cattle herders of Muslim faith (fulani.n.01)
 1: a family of languages of the Fulani of West Africa and used as a lingua franca in the sub-Saharan regions from Senegal to Chad; the best known of the West African languages (fula.n.02)"	4		
fuze	0: any igniter that is used to initiate the burning of a propellant (fuse.n.02)	4		
gaap	0: a collection of rules and procedures and conventions that define accepted accounting practice; includes broad guidelines as well as detailed procedures (generally_accepted_accounting_principles.n.01)	4	22	
gaba	0: an amino acid that is found in the central nervous system; acts as an inhibitory neurotransmitter (gamma_aminobutyric_acid.n.01)	4		
gael	0: a Gaelic-speaking Celt in Ireland or Scotland or the Isle of Man (gael.n.01)	4		
gaff	"0: a sharp metal spike or spur that is fastened to the leg of a gamecock (gaff.n.01)
 1: a spar rising aft from a mast to support the head of a quadrilateral fore-and-aft sail (gaff.n.02)
 2: an iron hook with a handle; used for landing large fish (gaff.n.03)"	4		
gall	"0: an open sore on the back of a horse caused by ill-fitting or badly adjusted saddle (saddle_sore.n.01)
 1: a skin sore caused by chafing (gall.n.02)
 2: abnormal swelling of plant tissue caused by insects or microorganisms or injury (gall.n.03)
 3: a feeling of deep and bitter anger and ill-will (resentment.n.01)
 4: a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats (bile.n.01)
 5: the trait of being rude and impertinent; inclined to take liberties (crust.n.03)
 6: become or make sore by or as if by rubbing (chafe.v.01)
 7: irritate or vex (gall.v.02)"	4		
gamp	0: colloquial terms for an umbrella (gamp.n.01)	4		
gamy	"0: suggestive of sexual impropriety (blue.s.05)
 1: (used of the smell of meat) smelling spoiled or tainted (gamey.s.02)
 2: willing to face danger (game.s.02)"	4		
gand	0: port city in northwestern Belgium and industrial center; famous for cloth industry (gent.n.03)	4		
gaol	"0: a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence) (jail.n.01)
 1: lock up or confine, in or as in a jail (imprison.v.01)"	4		
gape	"0: an expression of openmouthed astonishment (gape.n.01)
 1: a stare of amazement (usually with the mouth open) (gape.n.02)
 2: look with amazement; look stupidly (goggle.v.01)
 3: be wide open (gape.v.02)"	4		
gaud	0: cheap showy jewelry or ornament on clothing (bangle.n.02)	4		
gawk	"0: an awkward stupid person (lout.n.01)
 1: look with amazement; look stupidly (goggle.v.01)"	4		
gaza	0: a coastal region at the southeastern corner of the Mediterranean bordering Israel and Egypt (gaza_strip.n.01)	4		
gcse	0: the basic level of a subject taken in school (general_certificate_of_secondary_education.n.01)	4		
gelt	"0: informal terms for money (boodle.n.01)
 1: cut off the testicles (of male animals such as horses) (geld.v.01)"	4	44	
genf	0: a city in southwestern Switzerland at the western end of Lake Geneva; it is the headquarters of various international organizations (geneva.n.01)	4		
geum	0: avens (geum.n.01)	4		
gheg	0: the dialect of Albanian spoken in northern Albania and Yugoslavia (gheg.n.01)	4		
ghrf	0: a releasing factor that accelerates the secretion of growth hormone by the anterior pituitary body (growth_hormone-releasing_factor.n.01)	4		
gide	0: French author and dramatist who is regarded as the father of modern French literature (1869-1951) (gide.n.01)	4		
gigo	0: (computer science) a rule stating that the quality of the output is a function of the quality of the input; put garbage in and you get garbage out (gigo.n.01)	4		
gilt	"0: a coating of gold or of something that looks like gold (gilt.n.01)
 1: decorate with, or as if with, gold leaf or liquid gold (gild.v.01)
 2: having the deep slightly brownish color of gold (aureate.s.02)"	4		
gimp	"0: disability of walking due to crippling of the legs or feet (lameness.n.01)
 1: walk impeded by some physical limitation or injury (limp.v.01)"	4		
giro	"0: a check given by the British government to someone who is unemployed; it can be cashed either at a bank or at the post office (giro.n.01)
 1: a British financial system in which a bank or a post office transfers money from one account to another when they receive authorization to do so (giro.n.02)"	4	22	
glee	"0: great merriment (hilarity.n.01)
 1: malicious satisfaction (gloat.n.01)"	4		
glut	"0: the quality of being so overabundant that prices fall (glut.n.01)
 1: overeat or eat immodestly; make a pig of oneself (gorge.v.01)
 2: supply with an excess of (flood.v.03)"	4		
gnaw	"0: bite or chew on with the teeth (gnaw.v.01)
 1: become ground down or deteriorate (erode.v.01)"	4		
goal	"0: the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it (goal.n.01)
 1: the place designated as the end (as of a race or journey) (finish.n.04)
 2: game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points (goal.n.03)
 3: a successful attempt at scoring (goal.n.04)"	4		
gobi	0: a desert in central China (gobi.n.01)	4		
gobs	"0: a large number or amount (tons.n.01)
 1: a man who serves as a sailor (mariner.n.01)
 2: a lump of slimy stuff (gob.n.02)
 3: informal terms for the mouth (trap.n.06)"	4		
goer	0: someone who leaves (departer.n.01)	4		
golf	"0: a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes (golf.n.01)
 1: play golf (golf.v.01)"	4		
gond	0: a member of a formerly tribal people in south central India (gond.n.01)	4		
goof	"0: a man who is a stupid incompetent fool (fathead.n.01)
 1: a person who amuses others by ridiculous behavior (clown.n.02)
 2: commit a faux pas or a fault or make a serious mistake (drop_the_ball.v.01)"	4		
gook	"0: any thick, viscous matter (sludge.n.02)
 1: (slang) a disparaging term for an Asian person (especially for North Vietnamese soldiers in the Vietnam War) (gook.n.02)"	4		
goon	"0: an awkward stupid person (lout.n.01)
 1: an aggressive and violent young criminal (hood.n.01)"	4		
gory	"0: covered with blood (bloodstained.s.01)
 1: accompanied by bloodshed (gory.s.02)"	4		
gout	0: a painful inflammation of the big toe and foot caused by defects in uric acid metabolism resulting in deposits of the acid and its salts in the blood and joints (gout.n.01)	4		
gown	"0: a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions (gown.n.01)
 1: the members of a university as distinguished from the other residents of the town in which the university is located (gown.n.02)
 2: lingerie consisting of a loose dress designed to be worn in bed by women (nightgown.n.01)
 3: protective garment worn by surgeons during operations (gown.n.04)
 4: outerwear consisting of a long flowing garment used for official or ceremonial occasions (gown.n.05)
 5: dress in a gown (gown.v.01)"	4		
graz	0: an industrial city is southeastern Austria (graz.n.01)	4		
guam	0: the largest and southernmost island in the Marianas which is administered as a territory of the United States; it was ceded by Spain to the United States in 1898 (guam.n.01)	4		
guar	0: drought-tolerant herb grown for forage and for its seed which yield a gum used as a thickening agent or sizing material (guar.n.01)	4		
guff	0: unacceptable behavior (especially ludicrously false statements) (bunk.n.04)	4		
guib	0: antelope with white markings like a harness and twisted horns (bushbuck.n.01)	4		
gula	"0: the Babylonian goddess of healing and consort of Ninurta (gula.n.01)
 1: eating to excess (personified as one of the deadly sins) (gluttony.n.02)"	4		
gull	"0: a person who is gullible and easy to take advantage of (chump.n.01)
 1: mostly white aquatic bird having long pointed wings and short legs (gull.n.02)
 2: make a fool or dupe of (fool.v.01)
 3: fool or hoax (gull.v.02)"	4		
gulo	0: a genus of Mustelidae (gulo.n.01)	4		
gulu	0: a city in northern Uganda (gulu.n.01)	4		
gunk	0: any thick, viscous matter (sludge.n.02)	4		
gwyn	0: Celtic underworld god (gwyn.n.01)	4		
gywn	0: English comedienne and mistress of Charles II (1650-1687) (gwynn.n.01)	4		
hadj	0: the fifth pillar of Islam is a pilgrimage to Mecca during the month of Dhu al-Hijja; at least once in a lifetime a Muslim is expected to make a religious journey to Mecca and the Kaaba (hajj.n.01)	4		
haem	0: a complex red organic pigment containing iron and other atoms to which oxygen binds (heme.n.01)	4		
haft	0: the handle of a weapon or tool (haft.n.01)	4		
hahn	0: German chemist who was co-discoverer with Lise Meitner of nuclear fission (1879-1968) (hahn.n.01)	4		
haik	0: an outer garment consisting of a large piece of white cloth; worn by men and women in northern Africa (haik.n.01)	4		
hair	"0: a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss (hair.n.01)
 1: a very small distance or space (hair's-breadth.n.01)
 2: filamentous hairlike growth on a plant (hair.n.03)
 3: any of the cylindrical filaments characteristically growing from the epidermis of a mammal (hair.n.04)
 4: cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments (haircloth.n.01)
 5: a filamentous projection or process on an organism (hair.n.06)"	4		
haji	0: an Arabic term of respect for someone who has made the pilgrimage to Mecca (hajji.n.02)	4		
hajj	0: the fifth pillar of Islam is a pilgrimage to Mecca during the month of Dhu al-Hijja; at least once in a lifetime a Muslim is expected to make a religious journey to Mecca and the Kaaba (hajj.n.01)	4		
hale	"0: a soldier of the American Revolution who was hanged as a spy by the British; his last words were supposed to have been `I only regret that I have but one life to give for my country' (1755-1776) (hale.n.01)
 1: United States astronomer who discovered that sunspots are associated with strong magnetic fields (1868-1938) (hale.n.02)
 2: prolific United States writer (1822-1909) (hale.n.03)
 3: to cause to do through pressure or necessity, by physical, moral or intellectual means : (coerce.v.01)
 4: draw slowly or heavily (haul.v.01)
 5: exhibiting or restored to vigorous good health (hale.s.01)"	4		
half	"0: one of two equal parts of a divisible whole (one-half.n.01)
 1: one of two divisions into which some games or performances are divided: the two divisions are separated by an interval (half.n.02)
 2: consisting of one of two equivalent parts in value or quantity (half.s.01)
 3: partial (half.s.02)
 4: (of siblings) related through one parent only (half.a.03)
 5: partially or to the extent of a half (half.r.01)"	4		
halm	0: stems of beans and peas and potatoes and grasses collectively as used for thatching and bedding (haulm.n.01)	4		
hals	0: Dutch portrait and genre painter who endowed his portraits with vitality and humor (1580?-1666) (hals.n.01)	4		
hame	0: stable gear consisting of either of two curved supports that are attached to the collar of a draft horse and that hold the traces (hame.n.01)	4		
